FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE
0.3,B,38.427267,-120.680142,6,20071028,20071028,6005.0,20071028
0.01,A,38.70083333,-120.01888889,6,20070925,20070925,6005.0,20070925
0.1,A,38.402931,-120.642089,6,20020812,20020812,6005.0,20020812
1.2,B,38.388039,-120.624689,6,20040505,20040505,6005.0,20040505
0.1,A,38.549961,-120.848925,6,20060612,20060612,6005.0,20060612
0.1,A,38.460489,-120.660481,6,19990105,19990105,6005.0,19990105
0.1,A,38.446389,-120.548861,6,20001107,20001107,6005.0,20001107
0.1,A,38.401658,-120.643578,6,20070801,20070801,6005.0,20070801
4.5,B,38.33055,-120.7347,6,19980729,19980729,6005.0,19980729
0.1,A,38.402919,-120.623431,6,20030823,20030823,6005.0,20030823
0.1,A,38.30165,-120.751361,6,20020829,20020829,6005.0,20020829
0.1,A,38.445181,-120.528739,6,20070917,20070917,6005.0,20070917
15.0,C,38.258889,-120.881661,6,20050804,20050804,6005.0,20050804
0.1,A,38.452981,-120.5264,6,20050812,20050812,6005.0,20050812
0.1,A,38.417581,-120.641989,6,20020625,20020625,6005.0,20020625
0.3,B,38.539081,-120.847225,6,20070727,20070727,6005.0,20070727
0.2,A,38.417811,-120.567781,6,20040518,20040518,6005.0,20040518
0.01,A,38.58388889,-120.09388889,6,20090720,20090720,6005.0,20090720
0.1,A,38.63,-120.14,6,20070831,20070831,6005.0,20070831
0.1,A,38.330589,-120.845731,6,19990709,19990709,6005.0,19990709
0.1,A,38.444061,-120.531117,6,20060909,20060909,6005.0,20060909
0.1,A,38.493842,-120.581467,6,20070917,20070917,6005.0,20070917
0.1,A,38.53666667,-120.2375,6,20060603,20060603,6005.0,20060603
2.0,B,38.434011,-120.991531,6,19980802,19980802,6005.0,19980802
0.1,A,38.52555556,-120.35138889,6,20071029,20071029,6005.0,20071029
0.1,A,38.389289,-120.899081,6,20000907,20000907,6005.0,20000907
0.1,A,38.431719,-120.679,6,19980811,19980811,6005.0,19980811
0.1,A,38.431889,-120.549269,6,20040514,20040514,6005.0,20040514
