,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
321,321,321,321,321,321,321,321,321,8514,0.35,A,41.5025,-121.0025,6,20090801,20090801,6049.0,20090801,270,150,204,0,0.79428977,98.667
322,322,322,322,322,322,322,322,322,8515,0.1,A,41.53583333,-121.33555556,6,20090807,20090807,6049.0,20090807,67,25,47,152,2.955494,97.0
323,323,323,323,323,323,323,323,323,8516,0.25,A,41.56277778,-121.44944444,6,20090806,20090806,6049.0,20090806,130,26,76,51,3.8470786,97.0
324,324,324,324,324,324,324,324,324,8517,1.5,B,41.61388889,-121.4425,6,20090808,20090811,6049.0,20090808,199,12,112,0,1.5074822,97.0
325,325,325,325,325,325,325,325,325,8518,0.3,A,41.60694444,-121.28138889,6,20090806,20090806,6049.0,20090806,130,26,76,51,3.8470786,97.0
326,326,326,326,326,326,326,326,326,8519,5.0,B,41.696769,-120.36035,6,20030927,20030927,6049.0,20030927,333,50,194,0,1.8200275,77.0
327,327,327,327,327,327,327,327,327,8520,1.75,B,41.54166667,-121.66305556,6,20090804,20090806,6049.0,20090804,239,116,169,0,3.093121,97.0
328,328,328,328,328,328,328,328,328,8521,1.0,B,41.3199,-120.5044,6,20030922,20030922,6049.0,20030922,267,17,140,0,2.2340257,77.0
329,329,329,329,329,329,329,329,329,8522,0.25,A,41.94972222,-120.96333333,6,20090804,20090804,6049.0,20090804,239,116,169,0,3.093121,97.0
330,330,330,330,330,330,330,330,330,8523,0.35,A,41.71333333,-121.23666667,6,20090803,20090805,6049.0,20090803,231,73,141,0,2.267706,98.667
331,331,331,331,331,331,331,331,331,8524,0.2,A,41.6516,-120.4577,6,20030906,20030906,6049.0,20030906,256,84,156,0,1.9757015,66.667
332,332,332,332,332,332,332,332,332,8525,2.0,B,41.204331,-120.9422,6,19990607,19990607,6049.0,19990607,73,-50,8,0,2.5941668,153.333
333,333,333,333,333,333,333,333,333,8526,0.5,B,41.4632,-120.1727,6,20030904,20030905,6049.0,20030904,266,61,164,0,1.2340546,66.667
