,fips,county_name,state,to_generate,status,generated_row_count,file_name
484,47027,Clay County,TN,0,1.0,0.0,
485,47029,Cocke County,TN,0,1.0,0.0,
486,47031,Coffee County,TN,0,1.0,0.0,
487,47033,Crockett County,TN,0,1.0,0.0,
488,47035,Cumberland County,TN,0,1.0,0.0,
489,47037,Davidson County,TN,0,1.0,0.0,
490,47039,Decatur County,TN,0,1.0,0.0,
491,47041,DeKalb County,TN,0,1.0,0.0,
492,47043,Dickson County,TN,0,1.0,0.0,
493,47045,Dyer County,TN,0,1.0,0.0,
494,47047,Fayette County,TN,0,1.0,0.0,
495,47049,Fentress County,TN,0,1.0,0.0,
496,47051,Franklin County,TN,0,1.0,0.0,
497,47053,Gibson County,TN,0,1.0,0.0,
498,47055,Giles County,TN,0,1.0,0.0,
499,47057,Grainger County,TN,0,1.0,0.0,
500,47059,Greene County,TN,0,1.0,0.0,
501,47061,Grundy County,TN,0,1.0,0.0,
502,47063,Hamblen County,TN,0,1.0,0.0,
503,47065,Hamilton County,TN,0,1.0,0.0,
504,47067,Hancock County,TN,0,1.0,0.0,
505,47069,Hardeman County,TN,0,1.0,0.0,
506,47071,Hardin County,TN,0,1.0,0.0,
507,47073,Hawkins County,TN,0,1.0,0.0,
508,47075,Haywood County,TN,0,1.0,0.0,
509,47077,Henderson County,TN,0,1.0,0.0,
510,47079,Henry County,TN,0,1.0,0.0,
511,47081,Hickman County,TN,0,1.0,0.0,
512,47083,Houston County,TN,0,1.0,0.0,
513,47085,Humphreys County,TN,0,1.0,0.0,
514,47087,Jackson County,TN,0,1.0,0.0,
515,47089,Jefferson County,TN,0,1.0,0.0,
516,47091,Johnson County,TN,0,1.0,0.0,
517,47093,Knox County,TN,0,1.0,0.0,
518,47095,Lake County,TN,0,1.0,0.0,
519,47097,Lauderdale County,TN,0,1.0,0.0,
520,47099,Lawrence County,TN,0,1.0,0.0,
521,47101,Lewis County,TN,0,1.0,0.0,
522,47103,Lincoln County,TN,0,1.0,0.0,
523,47105,Loudon County,TN,0,1.0,0.0,
524,47107,McMinn County,TN,0,1.0,0.0,
525,47109,McNairy County,TN,0,1.0,0.0,
526,47111,Macon County,TN,0,1.0,0.0,
527,47113,Madison County,TN,0,1.0,0.0,
528,47115,Marion County,TN,0,1.0,0.0,
